| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|  94   |    50.04%    |    0.6923     |      49.77%       |      49.57%      |
|  95   |    50.35%    |    0.6935     |      50.26%       |      50.43%      |
|  96   |    50.09%    |    0.6942     |      50.26%       |      50.57%      |
|  97   |    50.27%    |    0.6938     |      50.27%       |      50.28%      |
|  98   |    50.09%    |    0.6937     |      50.30%       |      50.36%      |
|  99   |    50.21%    |    0.6942     |      50.31%       |      50.36%      |
|  100  |    50.24%    |    0.6927     |      49.75%       |      49.72%      |
|  101  |    50.05%    |    0.6939     |      49.69%       |      49.50%      |
|  102  |    50.31%    |    0.6930     |      49.77%       |      49.64%      |
|  103  |    49.90%    |    0.6923     |      50.33%       |      50.57%      |
|  104  |    50.02%    |    0.6927     |      49.71%       |      49.64%      |
|  105  |    50.03%    |    0.6925     |      49.70%       |      49.57%      |
|  106  |    49.90%    |    0.6934     |      49.70%       |      49.57%      |
|  107  |    50.29%    |    0.6940     |      50.29%       |      50.28%      |
|  108  |    50.40%    |    0.6935     |      49.73%       |      49.57%      |
|  109  |    50.07%    |    0.6953     |      49.72%       |      49.57%      |
|  110  |    49.98%    |    0.6932     |      49.77%       |      49.64%      |
|  111  |    49.54%    |    0.6947     |      50.28%       |      50.43%      |
|  112  |    50.25%    |    0.6936     |      49.76%       |      49.57%      |
|  113  |    50.40%    |    0.6952     |      49.75%       |      49.43%      |
|  114  |    50.12%    |    0.6931     |      49.70%       |      49.50%      |
|  115  |    50.06%    |    0.6934     |      50.28%       |      49.64%      |
|  116  |    50.39%    |    0.6932     |      49.67%       |      49.64%      |
|  117  |    50.39%    |    0.6931     |      50.28%       |      50.36%      |
|  118  |    50.07%    |    0.6947     |      50.27%       |      50.43%      |
|  119  |    50.00%    |    0.6934     |      49.64%       |      49.64%      |
|  120  |    49.88%    |    0.6935     |      49.73%       |      49.64%      |
|  121  |    50.52%    |    0.6934     |      49.72%       |      49.50%      |
|  122  |    50.07%    |    0.6940     |      49.70%       |      49.50%      |
|  123  |    50.41%    |    0.6931     |      50.30%       |      50.57%      |
|  124  |    49.57%    |    0.6930     |      49.64%       |      49.57%      |
|  125  |    50.39%    |    0.6932     |      49.72%       |      49.50%      |
|  126  |    50.49%    |    0.6927     |      49.72%       |      49.50%      |
|  127  |    50.03%    |    0.6931     |      49.69%       |      49.57%      |
|  128  |    50.04%    |    0.6932     |      50.26%       |      50.64%      |
