| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|  94   |    66.73%    |    0.5945     |      64.52%       |      66.00%      |
|  95   |    66.75%    |    0.6093     |      64.54%       |      65.92%      |
|  96   |    66.58%    |    0.5967     |      64.75%       |      66.49%      |
|  97   |    66.77%    |    0.5827     |      64.63%       |      66.33%      |
|  98   |    66.81%    |    0.5890     |      64.60%       |      65.89%      |
|  99   |    66.65%    |    0.5997     |      64.61%       |      66.45%      |
|  100  |    66.89%    |    0.5881     |      64.67%       |      66.22%      |
|  101  |    66.64%    |    0.5933     |      64.64%       |      66.26%      |
|  102  |    66.57%    |    0.5913     |      64.53%       |      66.39%      |
|  103  |    66.63%    |    0.6068     |      64.73%       |      66.31%      |
|  104  |    66.57%    |    0.5921     |      64.77%       |      66.42%      |
|  105  |    66.87%    |    0.5999     |      64.54%       |      65.97%      |
|  106  |    66.82%    |    0.6113     |      64.67%       |      66.23%      |
|  107  |    66.77%    |    0.5902     |      64.54%       |      65.96%      |
|  108  |    66.80%    |    0.5984     |      64.61%       |      66.26%      |
|  109  |    66.80%    |    0.6050     |      64.65%       |      66.12%      |
|  110  |    66.75%    |    0.5907     |      64.64%       |      65.95%      |
|  111  |    66.66%    |    0.6107     |      64.55%       |      66.04%      |
|  112  |    66.59%    |    0.6035     |      64.64%       |      66.00%      |
|  113  |    66.82%    |    0.6000     |      64.75%       |      66.47%      |
|  114  |    66.74%    |    0.5923     |      64.52%       |      66.07%      |
|  115  |    66.89%    |    0.5965     |      64.57%       |      66.13%      |
|  116  |    66.77%    |    0.5890     |      64.71%       |      66.00%      |
|  117  |    66.89%    |    0.5970     |      64.66%       |      66.21%      |
|  118  |    66.83%    |    0.6134     |      64.62%       |      66.41%      |
|  119  |    66.95%    |    0.6009     |      64.61%       |      66.31%      |
|  120  |    66.86%    |    0.5876     |      64.66%       |      66.85%      |
|  121  |    66.81%    |    0.5878     |      64.62%       |      66.22%      |
|  122  |    66.82%    |    0.6106     |      64.52%       |      66.69%      |
|  123  |    66.82%    |    0.5988     |      64.58%       |      66.47%      |
|  124  |    66.93%    |    0.5994     |      64.55%       |      65.81%      |
|  125  |    66.81%    |    0.5861     |      64.62%       |      66.82%      |
|  126  |    66.88%    |    0.5792     |      64.53%       |      65.97%      |
|  127  |    66.89%    |    0.6159     |      64.74%       |      66.34%      |
|  128  |    67.05%    |    0.5929     |      64.88%       |      66.81%      |
|  129  |    66.85%    |    0.6035     |      64.69%       |      66.60%      |
|  130  |    66.74%    |    0.6024     |      64.64%       |      66.79%      |
|  131  |    66.80%    |    0.6001     |      64.66%       |      66.60%      |
|  132  |    66.91%    |    0.5991     |      64.63%       |      66.68%      |
|  133  |    66.98%    |    0.5767     |      64.60%       |      66.45%      |
|  134  |    66.97%    |    0.6016     |      64.58%       |      66.18%      |
|  135  |    67.00%    |    0.5777     |      64.62%       |      66.63%      |
|  136  |    66.86%    |    0.6076     |      64.53%       |      65.95%      |
|  137  |    66.79%    |    0.5761     |      64.76%       |      66.65%      |
|  138  |    66.98%    |    0.5874     |      64.61%       |      66.48%      |
|  139  |    66.97%    |    0.5924     |      64.68%       |      66.67%      |
|  140  |    66.94%    |    0.5837     |      64.70%       |      66.41%      |
|  141  |    66.98%    |    0.5836     |      64.67%       |      66.62%      |
|  142  |    66.95%    |    0.5964     |      64.62%       |      66.31%      |
|  143  |    67.06%    |    0.5751     |      64.58%       |      66.46%      |
|  144  |    67.03%    |    0.5905     |      64.47%       |      66.15%      |
|  145  |    66.88%    |    0.6166     |      64.69%       |      66.31%      |
|  146  |    66.95%    |    0.5876     |      64.64%       |      66.36%      |
|  147  |    67.08%    |    0.5779     |      64.63%       |      66.44%      |
|  148  |    66.89%    |    0.5920     |      64.60%       |      66.21%      |
|  149  |    67.08%    |    0.5958     |      64.76%       |      66.57%      |
|  150  |    67.02%    |    0.5807     |      64.57%       |      66.18%      |
|  151  |    66.98%    |    0.5866     |      64.73%       |      66.87%      |
|  152  |    67.02%    |    0.5785     |      64.61%       |      66.43%      |
|  153  |    67.04%    |    0.5754     |      64.70%       |      66.59%      |
|  154  |    67.03%    |    0.5818     |      64.69%       |      66.58%      |
|  155  |    67.03%    |    0.5986     |      64.78%       |      66.44%      |
|  156  |    67.23%    |    0.5892     |      64.67%       |      66.56%      |
|  157  |    67.07%    |    0.5857     |      64.53%       |      66.50%      |
|  158  |    67.12%    |    0.6026     |      64.66%       |      66.68%      |
|  159  |    67.11%    |    0.5952     |      64.80%       |      66.11%      |
|  160  |    66.96%    |    0.5784     |      64.61%       |      66.27%      |
|  161  |    66.95%    |    0.5794     |      64.71%       |      66.64%      |
|  162  |    66.82%    |    0.6090     |      64.69%       |      66.95%      |
|  163  |    67.14%    |    0.5871     |      64.68%       |      66.68%      |
|  164  |    67.14%    |    0.5857     |      64.71%       |      66.59%      |
|  165  |    67.00%    |    0.5853     |      64.67%       |      66.66%      |
|  166  |    67.08%    |    0.5725     |      64.74%       |      66.17%      |
|  167  |    66.91%    |    0.5944     |      64.62%       |      66.50%      |
|  168  |    66.97%    |    0.5814     |      64.52%       |      66.09%      |
|  169  |    66.84%    |    0.5820     |      64.78%       |      66.79%      |
|  170  |    66.98%    |    0.6035     |      64.74%       |      66.45%      |
|  171  |    67.13%    |    0.6031     |      64.78%       |      66.46%      |
|  172  |    67.02%    |    0.5927     |      64.71%       |      66.43%      |
|  173  |    67.02%    |    0.5704     |      64.71%       |      66.60%      |
|  174  |    66.98%    |    0.5897     |      64.74%       |      66.73%      |
|  175  |    67.02%    |    0.5882     |      64.58%       |      66.31%      |
|  176  |    67.03%    |    0.5745     |      64.69%       |      66.39%      |
|  177  |    66.97%    |    0.5816     |      64.52%       |      66.38%      |
|  178  |    66.95%    |    0.6000     |      64.72%       |      66.09%      |
|  179  |    67.03%    |    0.5855     |      64.64%       |      66.40%      |
|  180  |    67.00%    |    0.5951     |      64.74%       |      66.81%      |
|  181  |    66.89%    |    0.5954     |      64.68%       |      66.21%      |
|  182  |    66.96%    |    0.5869     |      64.59%       |      66.31%      |
|  183  |    67.07%    |    0.5828     |      64.69%       |      66.61%      |
|  184  |    66.97%    |    0.5986     |      64.74%       |      66.87%      |
|  185  |    66.88%    |    0.5792     |      64.70%       |      66.38%      |
|  186  |    67.00%    |    0.5897     |      64.74%       |      66.57%      |
|  187  |    67.11%    |    0.5916     |      64.66%       |      66.75%      |
|  188  |    67.00%    |    0.5987     |      64.58%       |      66.51%      |
|  189  |    66.96%    |    0.5927     |      64.69%       |      66.88%      |
|  190  |    66.97%    |    0.5970     |      64.55%       |      66.68%      |
|  191  |    67.00%    |    0.6053     |      64.66%       |      66.44%      |
|  192  |    67.00%    |    0.5863     |      64.65%       |      66.22%      |
|  193  |    67.00%    |    0.5853     |      64.67%       |      66.78%      |
|  194  |    66.91%    |    0.5880     |      64.73%       |      66.51%      |
|  195  |    67.08%    |    0.5980     |      64.68%       |      66.60%      |
|  196  |    66.85%    |    0.5798     |      64.60%       |      66.29%      |
|  197  |    66.99%    |    0.5845     |      64.66%       |      66.54%      |
|  198  |    67.03%    |    0.5866     |      64.60%       |      66.26%      |
|  199  |    67.03%    |    0.5929     |      64.77%       |      66.89%      |
|  200  |    67.15%    |    0.5826     |      64.66%       |      66.99%      |
