| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|  94   |    50.31%    |    0.6926     |      50.43%       |      50.39%      |
|  95   |    50.09%    |    0.6920     |      49.57%       |      49.61%      |
|  96   |    50.08%    |    0.6932     |      50.48%       |      50.53%      |
|  97   |    50.09%    |    0.6940     |      50.41%       |      50.31%      |
|  98   |    49.84%    |    0.6934     |      50.41%       |      50.31%      |
|  99   |    50.04%    |    0.6932     |      50.48%       |      50.53%      |
|  100  |    50.01%    |    0.6933     |      50.41%       |      50.31%      |
|  101  |    49.95%    |    0.6929     |      49.59%       |      49.47%      |
|  102  |    49.84%    |    0.6926     |      49.57%       |      49.54%      |
|  103  |    50.58%    |    0.6933     |      50.49%       |      50.60%      |
|  104  |    50.24%    |    0.6932     |      50.44%       |      50.39%      |
|  105  |    50.16%    |    0.6936     |      50.43%       |      50.60%      |
|  106  |    50.48%    |    0.6931     |      49.54%       |      49.61%      |
|  107  |    49.86%    |    0.6931     |      49.62%       |      49.61%      |
|  108  |    50.08%    |    0.6931     |      49.58%       |      49.47%      |
|  109  |    49.90%    |    0.6935     |      49.63%       |      49.40%      |
|  110  |    49.84%    |    0.6944     |      49.60%       |      49.54%      |
|  111  |    49.54%    |    0.6931     |      49.58%       |      49.61%      |
|  112  |    49.80%    |    0.6933     |      49.59%       |      49.61%      |
|  113  |    50.08%    |    0.6928     |      50.41%       |      50.67%      |
|  114  |    50.33%    |    0.6937     |      49.60%       |      49.61%      |
|  115  |    50.24%    |    0.6925     |      50.40%       |      50.46%      |
|  116  |    50.04%    |    0.6933     |      49.59%       |      49.61%      |
|  117  |    49.95%    |    0.6931     |      49.57%       |      49.47%      |
|  118  |    49.73%    |    0.6932     |      50.38%       |      50.53%      |
|  119  |    50.36%    |    0.6932     |      49.62%       |      49.61%      |
|  120  |    50.09%    |    0.6942     |      50.42%       |      50.53%      |
|  121  |    49.98%    |    0.6931     |      49.60%       |      49.54%      |
|  122  |    50.04%    |    0.6926     |      49.64%       |      49.54%      |
|  123  |    49.88%    |    0.6931     |      49.68%       |      49.40%      |
|  124  |    50.35%    |    0.6933     |      50.43%       |      50.53%      |
|  125  |    49.65%    |    0.6931     |      49.60%       |      49.54%      |
|  126  |    50.01%    |    0.6942     |      49.64%       |      49.69%      |
|  127  |    50.23%    |    0.6934     |      49.58%       |      49.47%      |
|  128  |    49.73%    |    0.6936     |      50.48%       |      50.53%      |
|  129  |    50.18%    |    0.6939     |      50.36%       |      50.31%      |
|  130  |    50.00%    |    0.6933     |      49.65%       |      49.69%      |
|  131  |    49.66%    |    0.6916     |      50.39%       |      50.53%      |
|  132  |    50.37%    |    0.6931     |      49.64%       |      49.76%      |
