| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|  94   |    67.36%    |    0.5812     |      64.63%       |      66.09%      |
|  95   |    67.07%    |    0.5884     |      64.88%       |      66.40%      |
|  96   |    67.20%    |    0.5836     |      64.94%       |      67.07%      |
|  97   |    67.21%    |    0.5813     |      64.89%       |      66.27%      |
|  98   |    67.25%    |    0.5851     |      64.71%       |      66.14%      |
|  99   |    66.90%    |    0.5880     |      65.15%       |      67.97%      |
|  100  |    67.66%    |    0.5891     |      65.00%       |      66.27%      |
|  101  |    67.63%    |    0.5957     |      65.06%       |      67.04%      |
|  102  |    67.50%    |    0.5930     |      64.77%       |      66.33%      |
|  103  |    67.28%    |    0.5780     |      64.96%       |      66.84%      |
|  104  |    67.42%    |    0.5755     |      64.88%       |      66.53%      |
|  105  |    67.29%    |    0.5860     |      64.93%       |      66.05%      |
|  106  |    67.38%    |    0.5866     |      64.95%       |      66.67%      |
|  107  |    67.73%    |    0.5901     |      64.80%       |      66.94%      |
|  108  |    67.45%    |    0.5893     |      64.96%       |      66.86%      |
|  109  |    67.32%    |    0.5820     |      64.66%       |      66.19%      |
|  110  |    67.54%    |    0.5858     |      64.91%       |      66.85%      |
|  111  |    67.38%    |    0.5861     |      64.75%       |      66.28%      |
|  112  |    67.55%    |    0.5976     |      64.93%       |      65.96%      |
|  113  |    67.49%    |    0.5837     |      64.86%       |      66.33%      |
|  114  |    67.29%    |    0.5750     |      64.92%       |      66.51%      |
|  115  |    67.24%    |    0.5841     |      64.83%       |      65.77%      |
|  116  |    67.38%    |    0.5856     |      64.88%       |      66.40%      |
|  117  |    67.52%    |    0.5867     |      64.85%       |      66.25%      |
|  118  |    67.46%    |    0.5827     |      64.85%       |      66.55%      |
|  119  |    67.42%    |    0.5613     |      64.79%       |      66.61%      |
|  120  |    67.51%    |    0.5715     |      64.92%       |      65.68%      |
|  121  |    67.43%    |    0.5978     |      64.89%       |      66.30%      |
|  122  |    67.66%    |    0.5805     |      64.73%       |      65.52%      |
|  123  |    67.40%    |    0.5969     |      65.06%       |      66.98%      |
