| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|  94   |    66.87%    |    0.5782     |      65.35%       |      66.99%      |
|  95   |    67.04%    |    0.5927     |      65.19%       |      66.97%      |
|  96   |    67.01%    |    0.5946     |      65.22%       |      66.88%      |
|  97   |    67.03%    |    0.5819     |      65.41%       |      67.13%      |
|  98   |    66.86%    |    0.5906     |      65.35%       |      66.82%      |
|  99   |    66.85%    |    0.5956     |      65.28%       |      67.02%      |
|  100  |    66.81%    |    0.5984     |      65.30%       |      66.49%      |
|  101  |    66.91%    |    0.5899     |      65.18%       |      66.92%      |
|  102  |    66.98%    |    0.5936     |      65.27%       |      66.74%      |
|  103  |    66.93%    |    0.5893     |      65.18%       |      66.88%      |
|  104  |    66.94%    |    0.5872     |      65.23%       |      66.82%      |
|  105  |    66.95%    |    0.5923     |      64.98%       |      66.50%      |
|  106  |    66.97%    |    0.5975     |      65.27%       |      66.76%      |
|  107  |    66.77%    |    0.5870     |      65.10%       |      66.60%      |
|  108  |    67.19%    |    0.5812     |      65.23%       |      66.64%      |
|  109  |    66.95%    |    0.5938     |      65.59%       |      66.98%      |
|  110  |    66.91%    |    0.5881     |      65.19%       |      66.71%      |
|  111  |    66.96%    |    0.5773     |      65.47%       |      67.02%      |
|  112  |    67.30%    |    0.5871     |      65.26%       |      66.72%      |
|  113  |    66.92%    |    0.6031     |      65.05%       |      66.80%      |
|  114  |    66.96%    |    0.5781     |      65.33%       |      66.66%      |
|  115  |    67.12%    |    0.5848     |      65.33%       |      67.24%      |
|  116  |    66.99%    |    0.5816     |      65.23%       |      66.88%      |
|  117  |    67.04%    |    0.5855     |      65.48%       |      66.54%      |
|  118  |    66.88%    |    0.5935     |      65.07%       |      66.83%      |
|  119  |    66.86%    |    0.5834     |      65.33%       |      66.88%      |
|  120  |    67.04%    |    0.5643     |      65.24%       |      66.41%      |
|  121  |    67.03%    |    0.5855     |      65.21%       |      67.28%      |
|  122  |    66.80%    |    0.5804     |      65.10%       |      66.37%      |
|  123  |    67.10%    |    0.5857     |      65.30%       |      66.75%      |
|  124  |    66.95%    |    0.5873     |      65.06%       |      66.85%      |
|  125  |    66.83%    |    0.6048     |      65.11%       |      66.65%      |
|  126  |    66.98%    |    0.5960     |      65.49%       |      66.83%      |
|  127  |    66.71%    |    0.5770     |      65.20%       |      66.95%      |
|  128  |    67.11%    |    0.5832     |      65.24%       |      66.81%      |
|  129  |    66.82%    |    0.5873     |      65.25%       |      66.71%      |
|  130  |    66.84%    |    0.5976     |      65.31%       |      66.61%      |
|  131  |    67.13%    |    0.5905     |      65.21%       |      66.97%      |
|  132  |    66.82%    |    0.5775     |      65.32%       |      67.03%      |
|  133  |    67.11%    |    0.5789     |      65.37%       |      67.21%      |
|  134  |    67.04%    |    0.5950     |      65.02%       |      66.95%      |
|  135  |    66.89%    |    0.5776     |      64.96%       |      66.98%      |
|  136  |    67.04%    |    0.5870     |      65.24%       |      66.89%      |
|  137  |    66.87%    |    0.5878     |      65.43%       |      66.97%      |
|  138  |    67.02%    |    0.5768     |      65.44%       |      66.89%      |
|  139  |    66.86%    |    0.5883     |      65.41%       |      67.14%      |
|  140  |    67.07%    |    0.5836     |      65.25%       |      66.75%      |
|  141  |    67.12%    |    0.5946     |      65.16%       |      66.73%      |
|  142  |    66.98%    |    0.5716     |      65.13%       |      66.97%      |
|  143  |    66.85%    |    0.5975     |      65.43%       |      66.70%      |
|  144  |    66.99%    |    0.5836     |      65.51%       |      67.28%      |
|  145  |    66.93%    |    0.5714     |      65.26%       |      66.80%      |
|  146  |    67.28%    |    0.5772     |      65.29%       |      66.92%      |
|  147  |    66.96%    |    0.5949     |      65.49%       |      67.12%      |
|  148  |    67.15%    |    0.5869     |      65.28%       |      66.97%      |
|  149  |    67.11%    |    0.5949     |      65.42%       |      66.72%      |
|  150  |    66.96%    |    0.5959     |      65.27%       |      67.13%      |
|  151  |    67.03%    |    0.5949     |      65.27%       |      66.58%      |
|  152  |    67.17%    |    0.5842     |      65.04%       |      66.42%      |
|  153  |    67.06%    |    0.5831     |      65.52%       |      66.87%      |
|  154  |    67.26%    |    0.5954     |      65.23%       |      66.90%      |
|  155  |    67.14%    |    0.5883     |      65.27%       |      66.56%      |
|  156  |    67.27%    |    0.5965     |      65.43%       |      66.95%      |
|  157  |    67.06%    |    0.5929     |      65.04%       |      66.55%      |
|  158  |    67.03%    |    0.6001     |      65.12%       |      66.99%      |
|  159  |    67.09%    |    0.5761     |      65.22%       |      67.30%      |
|  160  |    67.28%    |    0.5825     |      65.37%       |      67.12%      |
|  161  |    67.33%    |    0.5861     |      65.15%       |      66.62%      |
|  162  |    67.03%    |    0.5870     |      65.22%       |      66.66%      |
|  163  |    67.28%    |    0.5736     |      65.17%       |      66.73%      |
|  164  |    67.04%    |    0.5841     |      65.00%       |      66.00%      |
|  165  |    67.01%    |    0.5921     |      65.27%       |      66.64%      |
|  166  |    67.17%    |    0.5920     |      65.36%       |      67.53%      |
|  167  |    67.20%    |    0.5862     |      65.01%       |      66.68%      |
|  168  |    66.91%    |    0.5930     |      65.21%       |      66.72%      |
|  169  |    67.16%    |    0.5890     |      65.32%       |      67.13%      |
|  170  |    67.29%    |    0.5869     |      65.40%       |      67.27%      |
|  171  |    67.36%    |    0.5854     |      65.18%       |      66.94%      |
|  172  |    67.21%    |    0.5880     |      65.34%       |      67.00%      |
|  173  |    67.23%    |    0.5886     |      65.33%       |      67.29%      |
|  174  |    67.11%    |    0.5904     |      65.13%       |      66.96%      |
|  175  |    67.22%    |    0.5953     |      65.06%       |      66.34%      |
|  176  |    67.26%    |    0.5794     |      65.36%       |      67.02%      |
|  177  |    67.14%    |    0.5603     |      65.36%       |      67.26%      |
|  178  |    67.12%    |    0.5888     |      65.23%       |      66.35%      |
|  179  |    67.15%    |    0.5900     |      65.00%       |      66.09%      |
|  180  |    67.43%    |    0.5664     |      65.30%       |      66.89%      |
|  181  |    67.24%    |    0.5834     |      65.51%       |      67.19%      |
|  182  |    67.12%    |    0.5927     |      65.14%       |      66.78%      |
|  183  |    67.39%    |    0.5715     |      65.06%       |      66.68%      |
|  184  |    67.03%    |    0.5826     |      65.26%       |      66.99%      |
|  185  |    67.28%    |    0.5844     |      65.15%       |      66.53%      |
|  186  |    67.12%    |    0.5704     |      65.35%       |      67.06%      |
