2024-01-18 16:21:24,454 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:28,879 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:29,221 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: keepalive
2024-01-18 16:21:29,472 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:33,897 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:34,230 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: keepalive
2024-01-18 16:21:34,489 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:38,918 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:39,239 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: keepalive
2024-01-18 16:21:39,512 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:43,937 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:44,249 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: keepalive
2024-01-18 16:21:44,529 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:48,953 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:49,259 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: keepalive
2024-01-18 16:21:49,544 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:53,969 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:54,268 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: keepalive
2024-01-18 16:21:54,565 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:58,991 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:21:59,279 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: keepalive
2024-01-18 16:21:59,580 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:22:04,012 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:22:04,289 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: keepalive
2024-01-18 16:22:04,599 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
2024-01-18 16:22:09,034 DEBUG   HandlerThread:54005 [handler.py:handle_request():146] handle_request: status_report
