| Epoch | Training Acc. | Loss | Overall Acc. | Last Bit Acc. |
|  94   |    50.12%    |    0.6932     |      50.19%       |      50.30%      |
|  95   |    50.11%    |    0.6932     |      50.17%       |      50.45%      |
|  96   |    50.10%    |    0.6932     |      50.21%       |      50.02%      |
|  97   |    50.10%    |    0.6932     |      50.17%       |      50.09%      |
|  98   |    50.11%    |    0.6932     |      50.22%       |      50.09%      |
|  99   |    50.11%    |    0.6932     |      50.19%       |      50.30%      |
|  100  |    50.11%    |    0.6931     |      50.18%       |      50.16%      |
|  101  |    50.10%    |    0.6932     |      50.18%       |      50.16%      |
|  102  |    50.11%    |    0.6932     |      50.25%       |      50.23%      |
|  103  |    50.11%    |    0.6931     |      50.20%       |      50.16%      |
|  104  |    50.10%    |    0.6932     |      50.18%       |      50.23%      |
|  105  |    50.11%    |    0.6931     |      50.19%       |      50.09%      |
|  106  |    50.11%    |    0.6931     |      50.23%       |      50.30%      |
|  107  |    50.10%    |    0.6933     |      50.18%       |      50.16%      |
|  108  |    50.11%    |    0.6932     |      50.29%       |      50.16%      |
|  109  |    50.11%    |    0.6932     |      50.24%       |      50.23%      |
|  110  |    50.11%    |    0.6931     |      50.19%       |      50.16%      |
|  111  |    50.11%    |    0.6931     |      50.21%       |      50.23%      |
|  112  |    50.11%    |    0.6931     |      50.27%       |      50.16%      |
|  113  |    50.10%    |    0.6932     |      50.22%       |      50.30%      |
|  114  |    50.10%    |    0.6933     |      50.17%       |      50.23%      |
|  115  |    50.11%    |    0.6931     |      50.21%       |      50.16%      |
|  116  |    50.11%    |    0.6931     |      50.17%       |      50.16%      |
|  117  |    50.10%    |    0.6932     |      50.17%       |      50.09%      |
|  118  |    50.10%    |    0.6931     |      50.25%       |      50.38%      |
|  119  |    50.11%    |    0.6932     |      50.17%       |      50.16%      |
|  120  |    50.11%    |    0.6932     |      50.21%       |      50.09%      |
|  121  |    50.11%    |    0.6931     |      50.27%       |      50.38%      |
|  122  |    50.11%    |    0.6930     |      50.20%       |      50.38%      |
|  123  |    50.12%    |    0.6931     |      50.20%       |      50.23%      |
|  124  |    50.09%    |    0.6931     |      50.18%       |      50.09%      |
|  125  |    50.09%    |    0.6932     |      50.21%       |      50.38%      |
|  126  |    50.11%    |    0.6932     |      50.24%       |      50.30%      |
|  127  |    50.10%    |    0.6932     |      50.23%       |      50.38%      |
|  128  |    50.11%    |    0.6931     |      50.26%       |      50.30%      |
|  129  |    50.11%    |    0.6931     |      50.20%       |      49.95%      |
|  130  |    50.10%    |    0.6932     |      50.22%       |      50.30%      |
|  131  |    50.11%    |    0.6931     |      50.16%       |      50.38%      |
|  132  |    50.11%    |    0.6933     |      50.19%       |      50.16%      |
|  133  |    50.10%    |    0.6932     |      50.20%       |      50.16%      |
|  134  |    50.11%    |    0.6932     |      50.24%       |      50.16%      |
|  135  |    50.11%    |    0.6932     |      50.20%       |      50.30%      |
|  136  |    50.12%    |    0.6931     |      50.20%       |      50.30%      |
|  137  |    50.14%    |    0.6931     |      50.23%       |      50.09%      |
|  138  |    50.12%    |    0.6931     |      50.19%       |      50.30%      |
|  139  |    50.12%    |    0.6931     |      50.17%       |      50.30%      |
|  140  |    50.11%    |    0.6932     |      50.24%       |      50.30%      |
|  141  |    50.11%    |    0.6931     |      50.17%       |      50.16%      |
|  142  |    50.11%    |    0.6931     |      50.17%       |      50.02%      |
|  143  |    50.12%    |    0.6931     |      50.19%       |      50.09%      |
|  144  |    50.10%    |    0.6932     |      50.20%       |      50.16%      |
|  145  |    50.11%    |    0.6932     |      50.24%       |      50.09%      |
|  146  |    50.12%    |    0.6931     |      50.17%       |      50.23%      |
|  147  |    50.10%    |    0.6932     |      50.24%       |      50.30%      |
|  148  |    50.13%    |    0.6930     |      50.17%       |      50.09%      |
|  149  |    50.10%    |    0.6930     |      50.26%       |      50.38%      |
|  150  |    50.11%    |    0.6932     |      50.19%       |      50.38%      |
|  151  |    50.11%    |    0.6932     |      50.21%       |      50.23%      |
|  152  |    50.11%    |    0.6931     |      50.19%       |      50.09%      |
|  153  |    50.11%    |    0.6931     |      50.19%       |      50.16%      |
|  154  |    50.11%    |    0.6930     |      50.28%       |      50.30%      |
|  155  |    50.11%    |    0.6931     |      50.19%       |      50.09%      |
|  156  |    50.12%    |    0.6931     |      50.27%       |      50.16%      |
|  157  |    50.12%    |    0.6931     |      50.18%       |      50.16%      |
|  158  |    50.10%    |    0.6932     |      50.17%       |      50.16%      |
|  159  |    50.10%    |    0.6932     |      50.22%       |      50.38%      |
|  160  |    50.12%    |    0.6931     |      50.24%       |      50.38%      |
|  161  |    50.11%    |    0.6932     |      50.17%       |      50.45%      |
|  162  |    50.12%    |    0.6932     |      50.19%       |      50.09%      |
|  163  |    50.10%    |    0.6933     |      50.19%       |      50.38%      |
|  164  |    50.10%    |    0.6932     |      50.19%       |      50.23%      |
|  165  |    50.11%    |    0.6932     |      50.19%       |      50.16%      |
|  166  |    50.10%    |    0.6933     |      50.22%       |      50.38%      |
|  167  |    50.10%    |    0.6934     |      50.24%       |      50.30%      |
|  168  |    50.11%    |    0.6933     |      50.24%       |      50.30%      |
|  169  |    50.11%    |    0.6932     |      50.24%       |      50.23%      |
|  170  |    50.10%    |    0.6932     |      50.19%       |      50.23%      |
|  171  |    50.10%    |    0.6932     |      50.16%       |      50.23%      |
|  172  |    50.11%    |    0.6931     |      50.24%       |      50.23%      |
|  173  |    50.12%    |    0.6930     |      50.19%       |      50.30%      |
|  174  |    50.11%    |    0.6932     |      50.24%       |      50.23%      |
|  175  |    50.11%    |    0.6932     |      50.20%       |      50.45%      |
|  176  |    50.11%    |    0.6931     |      50.18%       |      50.23%      |
|  177  |    50.10%    |    0.6932     |      50.19%       |      50.38%      |
|  178  |    50.11%    |    0.6932     |      50.19%       |      50.16%      |
|  179  |    50.11%    |    0.6931     |      50.22%       |      50.16%      |
|  180  |    50.12%    |    0.6931     |      50.16%       |      49.95%      |
|  181  |    50.11%    |    0.6932     |      50.22%       |      50.23%      |
|  182  |    50.11%    |    0.6931     |      50.18%       |      50.23%      |
|  183  |    50.11%    |    0.6932     |      50.21%       |      50.23%      |
|  184  |    50.11%    |    0.6932     |      50.22%       |      50.16%      |
|  185  |    50.11%    |    0.6931     |      50.20%       |      50.23%      |
|  186  |    50.10%    |    0.6931     |      50.15%       |      50.09%      |
|  187  |    50.11%    |    0.6931     |      50.23%       |      50.38%      |
|  188  |    50.10%    |    0.6932     |      50.22%       |      50.23%      |
|  189  |    50.11%    |    0.6931     |      50.22%       |      50.30%      |
|  190  |    50.11%    |    0.6930     |      50.19%       |      50.16%      |
|  191  |    50.11%    |    0.6931     |      50.24%       |      50.16%      |
|  192  |    50.11%    |    0.6932     |      50.25%       |      50.23%      |
|  193  |    50.11%    |    0.6932     |      50.20%       |      50.09%      |
|  194  |    50.11%    |    0.6930     |      50.22%       |      50.23%      |
|  195  |    50.11%    |    0.6932     |      50.19%       |      50.09%      |
|  196  |    50.12%    |    0.6931     |      50.22%       |      50.30%      |
|  197  |    50.11%    |    0.6930     |      50.22%       |      50.09%      |
|  198  |    50.11%    |    0.6932     |      50.18%       |      50.30%      |
|  199  |    50.08%    |    0.6933     |      50.19%       |      50.30%      |
|  200  |    50.12%    |    0.6933     |      50.24%       |      50.30%      |
